レース,year,着順,枠番,馬番,馬名,レース数,G1最高,G2最高,G3最高,性齢,斤量,騎手,タイム,上り,単勝,人気,馬体重,馬体重増減,東西,調教師,馬主
NHKM,2010,1,7,13,ダノンシャンティ,4,,,1,牡3,57,安藤勝己,01:31.4,33.5,2.6,1,468,2,西, 松田国英,ダノックス
NHKM,2010,2,1,1,ダイワバーバリアン,9,3,2,5,牡3,57,蛯名正義,01:31.6,34.5,20.1,5,510,4,西, 矢作芳人,大城敬三
NHKM,2010,3,2,3,リルダヴァル,4,6,3,,牡3,57,福永祐一,01:31.8,34.4,6,3,488,0,西, 池江泰郎,サンデーレーシング
NHKM,2010,4,2,4,サンライズプリンス,4,,1,,牡3,57,横山典弘,01:31.9,35.2,2.7,2,502,2,西, 音無秀孝,松岡隆雄
NHKM,2010,5,5,10,キョウエイアシュラ,9,7,4,7,牡3,57,吉田豊,01:32.2,34.5,86.9,13,454,0,西, 矢作芳人,田中晴夫
NHKM,2010,6,8,18,エーシンホワイティ,10,9,7,1,牡3,57,北村友一,01:32.4,34.2,137.4,16,468,-2,西, 松元茂樹,栄進堂
NHKM,2010,7,8,16,レト,9,,3,3,牡3,57,幸英明,01:32.7,35.3,52.2,9,442,-2,東, 本間忍,伊達敏明
NHKM,2010,8,5,9,モンテフジサン,8,,,,牡3,57,武士沢友,01:32.8,35.2,151.9,18,466,4,東, 松山康久,毛利喜昭
NHKM,2010,9,6,11,エイシンアポロン,8,2,1,,牡3,57,岩田康誠,01:33.0,35.6,11.5,4,494,0,西, 岡田稲男,平井豊光
NHKM,2010,10,7,14,シゲルモトナリ,11,,,4,牡3,57,松岡正海,01:33.1,35.5,85.9,12,494,-6,西, 藤岡範士,森中蕃
NHKM,2010,11,1,2,コスモセンサー,7,,5,1,牡3,57,石橋脩,01:33.3,36.7,34.5,7,490,0,西, 西園正都,ビッグレッドファーム
NHKM,2010,12,6,12,キングレオポルド,6,,10,6,牡3,57,伊藤工真,01:33.4,36.6,121.4,15,502,2,東, 堀宣行,里見治
NHKM,2010,13,3,5,サウンドバリアー,8,16,1,,牝3,55,内田博幸,01:33.5,36.4,52,8,460,2,西, 安達昭夫,増田雄一
NHKM,2010,14,4,7,トシギャングスター,8,,,2,牡3,57,浜中俊,01:33.6,35.4,85.8,11,464,6,西, 矢作芳人,田畑利彦
NHKM,2010,15,7,15,ガルボ,7,4,,1,牡3,57,後藤浩輝,01:33.6,36.2,26.6,6,454,-2,東, 清水英克,石川一義
NHKM,2010,16,4,8,パドトロワ,5,,,,牡3,57,柴田善臣,01:33.7,36.5,142.4,17,528,10,西, 鮫島一歩,吉田照哉
NHKM,2010,17,3,6,ニシノメイゲツ,6,5,5,6,牡3,57,北村宏司,01:33.9,36.3,89.5,14,444,-6,東, 田村康仁,西山茂行
NHKM,2010,18,8,17,エーシンダックマン,9,,,15,牡3,57,四位洋文,01:34.5,38.2,85.2,10,476,-2,西, 坂口正則,栄進堂
NHKM,2011,1,7,13,グランプリボス,6,1,1,,牡3,57,ウィリア,01:32.2,34,4.6,1,500,-6,西, 矢作芳人,グランプリ
NHKM,2011,2,8,17,コティリオン,6,,,2,牡3,57,小牧太,01:32.4,33.4,4.8,2,468,-2,西, 橋口弘次,金子真人ホールディングス
NHKM,2011,3,1,1,リアルインパクト,4,2,2,,牡3,57,内田博幸,01:32.5,34.2,6.1,4,496,2,東, 堀宣行,キャロットファーム
NHKM,2011,4,2,3,エイシンオスマン,9,8,1,,牡3,57,後藤浩輝,01:32.6,34.7,14.7,7,470,8,西, 松永昌博,平井豊光
NHKM,2011,5,4,8,プレイ,9,9,2,3,牡3,57,柴田大知,01:32.7,34.8,18.9,8,492,-4,東, 斎藤誠,岡田繁幸
NHKM,2011,6,3,5,マイネルラクリマ,5,6,,2,牡3,57,松岡正海,01:32.7,34.1,71.8,16,464,-2,東, 上原博之,サラブレッドクラブ・ラフィアン
NHKM,2011,7,8,18,オメガブレイン,5,,13,,牡3,57,横山典弘,01:32.8,33.9,70.9,14,440,-2,東, 古賀慎明,原礼子
