馬名,枠番,レース数,性齢,単勝,人気,馬体重,馬体重増減,東西,G1,G2,G3,G1_3,G2_3,G3_3,label
ダノンシャンティ,7,4,牡3,2.6,1,468,2,西,0,0,1,0,0,1,3着以内
ダイワバーバリアン,1,9,牡3,20.1,5,510,4,西,0,0,0,1,1,0,3着以内
リルダヴァル,2,4,牡3,6,3,488,0,西,0,0,0,0,1,0,3着以内
サンライズプリンス,2,4,牡3,2.7,2,502,2,西,0,1,0,0,1,0,4着以下
キョウエイアシュラ,5,9,牡3,86.9,13,454,0,西,0,0,0,0,0,0,4着以下
エーシンホワイティ,8,10,牡3,137.4,16,468,-2,西,0,0,1,0,0,1,4着以下
レト,8,9,牡3,52.2,9,442,-2,東,0,0,0,0,1,1,4着以下
モンテフジサン,5,8,牡3,151.9,18,466,4,東,0,0,0,0,0,0,4着以下
エイシンアポロン,6,8,牡3,11.5,4,494,0,西,0,1,0,1,1,0,4着以下
シゲルモトナリ,7,11,牡3,85.9,12,494,-6,西,0,0,0,0,0,0,4着以下
コスモセンサー,1,7,牡3,34.5,7,490,0,西,0,0,1,0,0,1,4着以下
キングレオポルド,6,6,牡3,121.4,15,502,2,東,0,0,0,0,0,0,4着以下
サウンドバリアー,3,8,牝3,52,8,460,2,西,0,1,0,0,1,0,4着以下
トシギャングスター,4,8,牡3,85.8,11,464,6,西,0,0,0,0,0,1,4着以下
ガルボ,7,7,牡3,26.6,6,454,-2,東,0,0,1,0,0,1,4着以下
パドトロワ,4,5,牡3,142.4,17,528,10,西,0,0,0,0,0,0,4着以下
ニシノメイゲツ,3,6,牡3,89.5,14,444,-6,東,0,0,0,0,0,0,4着以下
エーシンダックマン,8,9,牡3,85.2,10,476,-2,西,0,0,0,0,0,0,4着以下
グランプリボス,7,6,牡3,4.6,1,500,-6,西,1,1,0,1,1,0,3着以内
コティリオン,8,6,牡3,4.8,2,468,-2,西,0,0,0,0,0,1,3着以内
リアルインパクト,1,4,牡3,6.1,4,496,2,東,0,0,0,1,1,0,3着以内
エイシンオスマン,2,9,牡3,14.7,7,470,8,西,0,1,0,0,1,0,4着以下
